               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.028743,            0.019606,                   0,             0.88575,             0.90386,             0.93631,             0.59837,            0.028411,            0.015342,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.027599,            0.018482,                   0,             0.87406,             0.90674,             0.94059,             0.59632,            0.028848,            0.015698,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.02704,            0.018397,                   0,             0.89013,              0.8815,             0.92949,             0.56697,            0.031061,            0.015921,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.02717,            0.018179,                   0,              0.9077,             0.89168,             0.93842,             0.60455,            0.028391,            0.015541,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.027003,            0.018402,                   0,             0.88413,             0.91321,             0.94728,             0.60676,            0.028113,            0.015134,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.027227,            0.017543,                   0,             0.88832,              0.9067,             0.94441,             0.60825,             0.02826,            0.015354,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.026957,            0.017734,                   0,             0.90079,             0.89387,             0.94956,             0.60592,            0.028159,            0.015202,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.026428,            0.016627,                   0,             0.89741,             0.89515,             0.94132,             0.60755,            0.028276,            0.015557,                   0,            0.005545,            0.005545,            0.005545
                  47,             0.02656,            0.017793,                   0,             0.89855,             0.90632,             0.94547,             0.60609,            0.028441,            0.015361,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.026657,            0.018518,                   0,             0.87106,              0.9171,             0.94317,              0.6011,            0.028461,            0.015528,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.025941,            0.016984,                   0,             0.87861,              0.9171,             0.94594,             0.59878,            0.028402,            0.015585,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.026399,            0.018359,                   0,              0.9061,             0.88472,             0.94454,              0.6016,             0.02839,            0.015673,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.025597,            0.016872,                   0,             0.90794,             0.88472,             0.94545,             0.59842,            0.028447,            0.015791,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.026063,            0.017194,                   0,             0.91123,             0.89119,             0.93693,             0.59728,            0.028653,            0.016025,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.025492,            0.017128,                   0,             0.90046,             0.89378,             0.94107,             0.60144,             0.02842,            0.015691,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.025269,            0.016423,                   0,             0.88656,             0.90099,             0.94096,             0.59661,             0.02836,            0.015847,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.025501,             0.01657,                   0,             0.90592,             0.88601,             0.93824,             0.60992,            0.027942,            0.015725,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.025219,            0.016676,                   0,             0.87877,             0.89896,             0.93752,             0.60282,            0.028328,            0.015886,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.025819,             0.01758,                   0,             0.90316,               0.894,              0.9412,             0.60651,             0.02809,            0.015954,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.025024,            0.017493,                   0,             0.89937,             0.87988,             0.94188,             0.60167,            0.027989,            0.016129,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.024968,            0.016866,                   0,             0.90775,             0.89249,             0.94379,             0.60781,            0.028305,            0.016289,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.024079,            0.016067,                   0,             0.90615,             0.88601,              0.9452,             0.60662,             0.02832,            0.016202,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.024385,            0.016515,                   0,             0.91688,             0.90544,              0.9477,             0.60202,            0.028564,              0.0165,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.024505,            0.016524,                   0,             0.91227,              0.8899,             0.94651,             0.60457,            0.027963,            0.016435,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.024552,            0.016303,                   0,             0.91456,             0.88736,             0.94261,             0.60901,            0.028424,            0.016485,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.02412,            0.016325,                   0,             0.91782,             0.88251,             0.94533,             0.60791,            0.028291,            0.016018,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.023998,            0.016309,                   0,             0.87271,              0.9158,             0.94396,             0.60238,            0.028248,            0.016144,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.023866,            0.016082,                   0,             0.90128,             0.88731,             0.94338,             0.59897,            0.028808,            0.016145,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.023844,            0.015934,                   0,             0.90025,             0.90285,             0.94162,             0.60512,            0.028586,            0.016461,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.023696,              0.0157,                   0,             0.89743,              0.9067,             0.94568,             0.61396,            0.028328,            0.016696,                   0,            0.003367,            0.003367,            0.003367
